location,population,vehicle_count,industrial_activity,energy_usage_mwh,green_space_pct,estimated_co2,cluster,risk_level
Zone_466,18964,10010,3,4816,40,1393.72,0,Low
Zone_467,49893,7443,9,209,59,848.52,0,Low
Zone_468,10130,12454,2,5952,14,1758.5600000000002,1,High
Zone_469,21531,8304,10,6495,58,1719.7200000000003,2,Medium
Zone_470,3679,7065,9,5015,25,1497.0,2,Medium
Zone_471,5506,6484,8,1272,50,881.3600000000001,0,Low
Zone_472,15284,5170,9,3425,22,1163.6,2,Medium
Zone_473,9253,19074,5,1516,52,1776.8400000000001,1,High
Zone_474,21128,9684,2,5899,30,1482.6,2,Medium
Zone_475,29932,19596,8,7007,20,2708.52,1,High
Zone_476,11435,2692,6,6874,21,1247.24,2,Medium
Zone_477,46078,1748,8,3883,44,833.8,2,Medium
Zone_478,15296,11746,5,7427,32,1959.92,1,High
Zone_479,32445,13290,10,3473,51,1776.96,1,High
Zone_480,15245,18881,2,7200,46,2326.48,1,High
Zone_481,31124,4187,6,345,49,499.36,0,Low
Zone_482,31899,4518,5,5210,56,1043.6399999999999,2,Medium
Zone_483,45919,11802,5,3240,21,1494.9599999999998,0,Low
Zone_484,45225,2470,1,9854,35,1320.08,2,Medium
Zone_485,37247,8889,2,9976,58,1824.2399999999998,2,Medium
Zone_486,31222,18086,8,682,32,1792.72,1,High
Zone_487,28211,15874,3,3379,30,1720.4,1,High
Zone_488,39220,6288,10,1449,55,961.9200000000001,0,Low
Zone_489,28646,5908,3,830,39,590.24,0,Low
Zone_490,40649,9946,8,9053,49,2095.04,1,High
Zone_491,25049,1422,8,3052,12,804.0,0,Low
Zone_492,16069,919,2,1187,41,182.95999999999998,0,Low
Zone_493,34580,19088,8,7822,47,2684.68,1,High
Zone_494,33843,11289,1,7527,18,1797.3600000000001,1,High
Zone_495,4849,1620,6,9938,21,1529.1599999999999,2,Medium
Zone_496,42158,11760,8,9041,13,2346.7200000000003,1,High
Zone_497,25289,17834,3,9360,21,2621.92,1,High
Zone_498,46690,2836,8,1300,8,718.88,0,Low
Zone_499,37257,5873,1,6852,46,1199.08,2,Medium
